0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
-0.190689,-2.159629,1.366836,-3.318098,0.070422,0.707159,0.640814,1.427715,-0.182223,-0.153643,-1.249695,0.307573,-0.240466,K
-2.167055,1.368054,-1.491857,-0.155535,-0.181435,-0.910987,0.00007,0.619546,-1.766577,-0.09026,1.505974,0.388052,-1.63013,K
6.017618,-3.77485,-3.721849,0.247418,4.143864,1.694075,4.246487,-3.740681,-2.238545,-0.883168,0.217182,-0.501558,-1.415225,K
-3.805261,-0.240047,1.52368,0.288122,2.209162,-0.379564,0.634697,-0.007814,0.438725,1.304764,0.700007,0.441215,0.711929,K
1.691051,-0.789923,-0.525824,-0.614809,-1.984687,0.26061,-0.142908,1.352259,1.008293,1.5589,0.386603,-0.977869,-0.146863,C
8.516464,-1.604025,-2.035646,-1.861285,2.072043,1.225453,-0.735462,3.540108,0.923536,1.133877,1.233567,0.147059,0.363671,C
-2.709533,-0.731177,0.457503,-1.390274,1.797323,-0.636011,0.971178,-0.714279,0.908687,0.68157,-0.857384,1.00842,0.731891,K
-2.0434,2.221846,-2.374514,-0.273626,-0.252522,-0.500471,-0.052748,1.280505,-3.63129,-0.566686,0.931089,0.252711,-0.430562,K
-2.985117,-1.223206,0.89171,0.278235,0.758743,0.37735,0.77536,1.167484,-1.193351,-0.618185,-0.55372,1.091898,-0.315523,C
2.052266,4.137795,5.517436,0.396639,2.876833,-0.652381,1.186083,1.03288,-0.388914,1.962183,-0.670971,-1.322965,-0.912379,K
5.141846,-0.734663,-2.367846,-0.375023,-1.246449,-1.825699,0.579931,-0.933401,1.22582,0.897172,0.632032,1.199374,-1.489711,K
-1.772724,-0.778029,-1.217689,1.730221,-0.434402,-1.670487,0.144871,0.765245,0.969586,0.28294,-0.86293,0.467247,-1.541656,K
0.054663,0.068005,1.183902,-1.40203,0.461685,-0.976789,0.649715,-1.033989,-0.197573,1.86054,0.730261,0.957684,1.315022,C
5.775794,2.013698,-1.416826,0.347139,-1.190741,-2.88859,-0.027133,-0.949134,0.040792,1.623929,-0.324482,1.894743,0.829184,C
