nHaaCH,minaasC,minsNH2,MDEC-34,nTRing,nT7Ring,Results_2
0.181818,0.60148,0,0,0.021127,0,Y
0.454545,0.587429,0,0.254359,0.035211,1,Y
0.363636,0.704649,0,0,0.007042,0,Y
0.727273,0.552446,0.910985,0,0.035211,0,N
0.454545,0.79919,0,0.234589,0.028169,1,Y
0,0.477799,0,0.311928,0.056338,0,N
0.454545,0.779744,0.927679,0,0.021127,0,Y
0.727273,1,0,0,0.042254,0,Y
0.454545,0.278619,0,0,0.028169,0,Y
0.818182,0.815466,0,0,0.028169,0,Y
0.545455,0.329986,0,0,0.014085,0,Y
0.363636,0.317763,0,0,0.014085,0,N
0.181818,0,0.972437,0.118059,0.028169,0,N
0.727273,0.757819,0,0,0.028169,1,Y
0,0.477799,0,0.206799,0.049296,0,N
0.454545,0.278619,0,0,0.035211,0,Y
0.454545,0.845518,0.9281,0,0.014085,0,N
0.454545,0.822979,0,0,0.021127,0,N
0.181818,0.073746,0,0.123566,0.014085,0,N
0.454545,0.779744,0.927679,0,0.021127,0,Y
0.727273,1,0,0,0.042254,0,Y
0.818182,0.815466,0,0,0.028169,0,Y
0.363636,0.702783,0,0,0.028169,0,Y
0.363636,0.526844,0,0.459634,0.035211,0,N
0.363636,0.526844,0,0.391066,0.06338,0,N
0.363636,0.526844,0,0.311928,0.06338,0,N
0.545455,0.480175,0,0,0.014085,0,N
0.272727,0.753668,0,0,0.028169,0,N
0.454545,0.278619,0,0,0.028169,0,N
0.727273,0.300719,0,0,0.049296,0,N
0.545455,0.480175,0,0,0.014085,0,N
0.272727,0.753668,0,0,0.028169,0,N
0.454545,0.278619,0,0,0.028169,0,N
0.727273,0.300719,0,0,0.049296,0,N
0.272727,0.539353,0,0,0.014085,0,N
0.272727,0.539353,0,0,0.014085,0,N
0,0.477799,0,0,0.014085,0,Y
0.727273,0.757819,0,0,0.028169,1,Y
0.363636,0.529963,0,0.459634,0.035211,0,N
0.363636,0.529963,0,0.391066,0.06338,0,N
0.363636,0.529963,0,0.311928,0.06338,0,N
0.090909,0.553133,0.906396,0,0.028169,0,N
0.363636,0.809978,0.921615,0,0.021127,0,N
0,0.477799,0,0.459634,0.035211,0,N
0.363636,0.715899,0.854445,0,0.014085,0,Y
0.363636,0.84609,0.926302,0,0.014085,0,N
0.181818,0.820514,1,0.093535,0.014085,0,Y
0.636364,0.774059,0,0,0.021127,0,N
0.818182,0.813269,0,0.185844,0.021127,0,Y
0.454545,0.870769,0,0,0.021127,0,N
0.272727,0.487756,0,0,0.014085,0,Y
0.181818,0.218712,0,0,0.014085,0,N
0.545455,0.417716,0,0,0.042254,0,N
0.727273,0.362663,0,0.097445,0.028169,0,Y
0.363636,0.806327,0,0,0.014085,0,Y
0.636364,0.68758,0,0,0.035211,0,Y
0.818182,0.661087,0,0,0.021127,0,Y
0,0.477799,0,0.391066,0.06338,0,N
0.454545,0.822979,0,0,0.028169,0,Y
0.454545,0.822979,0,0,0.028169,0,Y
0.181818,0.073746,0,0.123566,0.021127,0,Y
